,full_name,title,guessed_gender,orcid_id,scholar_id,scopus_id,full_initials,single_initials,partial_initials,only_first,h-index_scopus,h-index_scholar
860,George Weidner,,male,,,,G. Weidner,G. Weidner,George Weidner,George Weidner,,
861,John King,,male,,,,J. King,J. King,John King,John King,,
862,Phil Jones,,male,,,,P. Jones,P. Jones,Phil Jones,Phil Jones,,
863,Matthew Lazzara,,male,,,,M. Lazzara,M. Lazzara,Matthew Lazzara,Matthew Lazzara,,
864,Manola Brunet,,female,,,,M. Brunet,M. Brunet,Manola Brunet,Manola Brunet,,
865,Randall S. Cerveny,,male,,,,R. S. Cerveny,R. Cerveny,Randall S. Cerveny,Randall Cerveny,,
866,Mathieu Morlighem,,male,,,,M. Morlighem,M. Morlighem,Mathieu Morlighem,Mathieu Morlighem,,
867,Michael Bevis,,male,,,,M. Bevis,M. Bevis,Michael Bevis,Michael Bevis,,
868,Jérémie Mouginot,,male,,,,J. Mouginot,J. Mouginot,Jérémie Mouginot,Jérémie Mouginot,,
869,David M. Holland,,male,,,,D. M. Holland,D. Holland,David M. Holland,David Holland,,
870,Andy Aschwanden,,male,,,,A. Aschwanden,A. Aschwanden,Andy Aschwanden,Andy Aschwanden,,
871,Bao Zhang,,male,,,,B. Zhang,B. Zhang,Bao Zhang,Bao Zhang,,
872,Lin Liu,,female,,,,L. Liu,L. Liu,Lin Liu,Lin Liu,,
873,Trine S. Dahl-Jensen,,female,,,,T. S. Dahl-Jensen,T. Dahl-Jensen,Trine S. Dahl-Jensen,Trine Dahl-Jensen,,
874,Anne Sofie Søndergaard,,female,,,,A. S. Søndergaard,A. Søndergaard,Anne S. Søndergaard,Anne Søndergaard,,
875,Beata M. Csatho,,female,,,,B. M. Csatho,B. Csatho,Beata M. Csatho,Beata Csatho,,
876,Jason Box,,male,,,,J. Box,J. Box,Jason Box,Jason Box,,
877,Toni Schenk,,male,,,,T. Schenk,T. Schenk,Toni Schenk,Toni Schenk,,
878,Derrick Julius Lampkin,,male,,,,D. J. Lampkin,D. Lampkin,Derrick J. Lampkin,Derrick Lampkin,,
879,Lora Koenig,,female,,,,L. Koenig,L. Koenig,Lora Koenig,Lora Koenig,,
880,Casey Joseph,,male,,,,C. Joseph,C. Joseph,Casey Joseph,Casey Joseph,,
881,Jason Eric Box,,male,,,,J. E. Box,J. Box,Jason E. Box,Jason Box,,
882,Stefan Hofer,,male,,,,S. Hofer,S. Hofer,Stefan Hofer,Stefan Hofer,,
883,Uta Krebs-Kanzow,,female,,,,U. Krebs-Kanzow,U. Krebs-Kanzow,Uta Krebs-Kanzow,Uta Krebs-Kanzow,,
884,Charles Amory,,male,,,,C. Amory,C. Amory,Charles Amory,Charles Amory,,
885,Teruo Aoki,,male,,,,T. Aoki,T. Aoki,Teruo Aoki,Teruo Aoki,,
886,Constantijn J. Berends,,male,,,,C. J. Berends,C. Berends,Constantijn J. Berends,Constantijn Berends,,
887,Andreas Born,,male,,,,A. Born,A. Born,Andreas Born,Andreas Born,,
888,Alison Delhasse,,female,,,,A. Delhasse,A. Delhasse,Alison Delhasse,Alison Delhasse,,
889,Paul Gierz,,male,,,,P. Gierz,P. Gierz,Paul Gierz,Paul Gierz,,
890,Akihiro Hashimoto,,male,,,,A. Hashimoto,A. Hashimoto,Akihiro Hashimoto,Akihiro Hashimoto,,
891,Philippe Huybrechts,,male,,,,P. Huybrechts,P. Huybrechts,Philippe Huybrechts,Philippe Huybrechts,,
892,Marie Luise Kapsch,,female,,,,M. L. Kapsch,M. Kapsch,Marie L. Kapsch,Marie Kapsch,,
893,Michalea D. King,,female,,,,M. D. King,M. King,Michalea D. King,Michalea King,,
894,Christoph Kittel,,male,,,,C. Kittel,C. Kittel,Christoph Kittel,Christoph Kittel,,
895,Charlotte Lang,,female,,,,C. Lang,C. Lang,Charlotte Lang,Charlotte Lang,,
896,Glen E. Liston,,male,,,,G. E. Liston,G. Liston,Glen E. Liston,Glen Liston,,
897,Gerrit Lohmann,,male,,,,G. Lohmann,G. Lohmann,Gerrit Lohmann,Gerrit Lohmann,,
898,Uwe Mikolajewicz,,male,,,,U. Mikolajewicz,U. Mikolajewicz,Uwe Mikolajewicz,Uwe Mikolajewicz,,
899,Kameswarrao Modali,,male,,,,K. Modali,K. Modali,Kameswarrao Modali,Kameswarrao Modali,,
900,Amy Smith,,female,,,,A. Smith,A. Smith,Amy Smith,Amy Smith,,
901,Jan Streffing,,male,,,,J. Streffing,J. Streffing,Jan Streffing,Jan Streffing,,
902,Leo Van Kampenhout,,male,,,,L. V. Kampenhout,L. Kampenhout,Leo V. Kampenhout,Leo Kampenhout,,
903,Florian Ziemen,,male,,,,F. Ziemen,F. Ziemen,Florian Ziemen,Florian Ziemen,,
904,Tobias Zolles,,male,,,,T. Zolles,T. Zolles,Tobias Zolles,Tobias Zolles,,
905,Martin Olesen,,male,,,,M. Olesen,M. Olesen,Martin Olesen,Martin Olesen,,
906,C. Max Stevens,,male,,,,C. M. Stevens,C. Stevens,C. M. Stevens,C. Stevens,,
907,Vincent Verjans,,male,,,,V. Verjans,V. Verjans,Vincent Verjans,Vincent Verjans,,
908,Amber Leeson,,female,,,,A. Leeson,A. Leeson,Amber Leeson,Amber Leeson,,
909,Stefan Ligtenberg,,male,,,,S. Ligtenberg,S. Ligtenberg,Stefan Ligtenberg,Stefan Ligtenberg,,
910,Peter Kuipers Munneke,,male,,,,P. K. Munneke,P. Munneke,Peter K. Munneke,Peter Munneke,,
911,Sergey Marchenko,,male,,,,S. Marchenko,S. Marchenko,Sergey Marchenko,Sergey Marchenko,,
912,Ward Van Pelt,,male,,,,W. V. Pelt,W. Pelt,Ward V. Pelt,Ward Pelt,,
913,Colin R. Meyer,,male,,,,C. R. Meyer,C. Meyer,Colin R. Meyer,Colin Meyer,,
914,Achim Heilig,,male,,,,A. Heilig,A. Heilig,Achim Heilig,Achim Heilig,,
915,Samira Samimi,,female,,,,S. Samimi,S. Samimi,Samira Samimi,Samira Samimi,,
916,Shawn Marshall,,male,,,,S. Marshall,S. Marshall,Shawn Marshall,Shawn Marshall,,
917,Horst MacHguth,,male,,,,H. MacHguth,H. MacHguth,Horst MacHguth,Horst MacHguth,,
918,Michael MacFerrin,,male,,,,M. MacFerrin,M. MacFerrin,Michael MacFerrin,Michael MacFerrin,,
919,Olivia Miller,,female,,,,O. Miller,O. Miller,Olivia Miller,Olivia Miller,,
920,Clifford I. Voss,,male,,,,C. I. Voss,C. Voss,Clifford I. Voss,Clifford Voss,,
921,Emily N. Sambuco,,female,,,,E. N. Sambuco,E. Sambuco,Emily N. Sambuco,Emily Sambuco,,
922,Bryan G. Mark,,male,,,,B. G. Mark,B. Mark,Bryan G. Mark,Bryan Mark,,
923,Nathan Patrick,,male,,,,N. Patrick,N. Patrick,Nathan Patrick,Nathan Patrick,,
924,James Q. DeGrand,,male,,,,J. Q. DeGrand,J. DeGrand,James Q. DeGrand,James DeGrand,,
925,David F. Porinchu,,male,,,,D. F. Porinchu,D. Porinchu,David F. Porinchu,David Porinchu,,
926,Scott A. Reinemann,,male,,,,S. A. Reinemann,S. Reinemann,Scott A. Reinemann,Scott Reinemann,,
927,Gretchen M. Baker,,female,,,,G. M. Baker,G. Baker,Gretchen M. Baker,Gretchen Baker,,
928,T. Ingeman-Nielsen,,male,,,,T. Ingeman-Nielsen,T. Ingeman-Nielsen,T. Ingeman-Nielsen,T. Ingeman-Nielsen,,
929,Alexander Kokhanovsky,,male,,,,A. Kokhanovsky,A. Kokhanovsky,Alexander Kokhanovsky,Alexander Kokhanovsky,,
930,Maxim Lamare,,male,,,,M. Lamare,M. Lamare,Maxim Lamare,Maxim Lamare,,
931,Alexander Smirnov,,male,,,,A. Smirnov,A. Smirnov,Alexander Smirnov,Alexander Smirnov,,
932,Michael Kern,,male,,,,M. Kern,M. Kern,Michael Kern,Michael Kern,,
933,Olaf Danne,,male,,,,O. Danne,O. Danne,Olaf Danne,Olaf Danne,,
934,Carsten Brockmann,,male,,,,C. Brockmann,C. Brockmann,Carsten Brockmann,Carsten Brockmann,,
935,Marie Dumont,,female,,,,M. Dumont,M. Dumont,Marie Dumont,Marie Dumont,,
936,Ghislain Picard,,male,,,,G. Picard,G. Picard,Ghislain Picard,Ghislain Picard,,
937,Laurent Arnaud,,male,,,,L. Arnaud,L. Arnaud,Laurent Arnaud,Laurent Arnaud,,
938,Vincent Favier,,male,,,,V. Favier,V. Favier,Vincent Favier,Vincent Favier,,
939,Bruno Jourdain,,male,,,,B. Jourdain,B. Jourdain,Bruno Jourdain,Bruno Jourdain,,
940,Emmanuel Le Meur,,male,,,,E. L. Meur,E. Meur,Emmanuel L. Meur,Emmanuel Meur,,
941,Biagio Di Mauro,,male,,,,B. D. Mauro,B. Mauro,Biagio D. Mauro,Biagio Mauro,,
942,Vladimir Rozanov,,male,,,,V. Rozanov,V. Rozanov,Vladimir Rozanov,Vladimir Rozanov,,
943,Sergey Korkin,,male,,,,S. Korkin,S. Korkin,Sergey Korkin,Sergey Korkin,,
944,Sepp Kipfstuhl,,male,,,,S. Kipfstuhl,S. Kipfstuhl,Sepp Kipfstuhl,Sepp Kipfstuhl,,
945,Johannes Freitag,,male,,,,J. Freitag,J. Freitag,Johannes Freitag,Johannes Freitag,,
946,Maria Hoerhold,,female,,,,M. Hoerhold,M. Hoerhold,Maria Hoerhold,Maria Hoerhold,,
947,Alexandra Zuhr,,female,,,,A. Zuhr,A. Zuhr,Alexandra Zuhr,Alexandra Zuhr,,
948,Diana Vladimirova,,female,,,,D. Vladimirova,D. Vladimirova,Diana Vladimirova,Diana Vladimirova,,
949,Anne Katrine Faber,,female,,,,A. K. Faber,A. Faber,Anne K. Faber,Anne Faber,,
950,Hans Christian Steen-Larsen,,male,,,,H. C. Steen-Larsen,H. Steen-Larsen,Hans C. Steen-Larsen,Hans Steen-Larsen,,
951,Sonja Wahl,,female,,,,S. Wahl,S. Wahl,Sonja Wahl,Sonja Wahl,,
952,Eleonora Zege,,female,,,,E. Zege,E. Zege,Eleonora Zege,Eleonora Zege,,
953,James Overland,,male,,,,J. Overland,J. Overland,James Overland,James Overland,,
954,Edward Dunlea,,male,,,,E. Dunlea,E. Dunlea,Edward Dunlea,Edward Dunlea,,
955,Robert Corell,,male,,,,R. Corell,R. Corell,Robert Corell,Robert Corell,,
956,Martin Forsius,,male,,,,M. Forsius,M. Forsius,Martin Forsius,Martin Forsius,,
957,Vladimir Kattsov,,male,,,,V. Kattsov,V. Kattsov,Vladimir Kattsov,Vladimir Kattsov,,
958,Morten Skovgård Olsen,,male,,,,M. S. Olsen,M. Olsen,Morten S. Olsen,Morten Olsen,,
959,Janet Pawlak,,female,,,,J. Pawlak,J. Pawlak,Janet Pawlak,Janet Pawlak,,
960,Lars Otto Reiersen,,male,,,,L. O. Reiersen,L. Reiersen,Lars O. Reiersen,Lars Reiersen,,
961,Muyin Wang,,male,,,,M. Wang,M. Wang,Muyin Wang,Muyin Wang,,
962,Torben Røjle Christensen,,male,,,,T. R. Christensen,T. Christensen,Torben R. Christensen,Torben Christensen,,
963,Niels Martin Schmidt,,male,,,,N. M. Schmidt,N. Schmidt,Niels M. Schmidt,Niels Schmidt,,
964,Magnus Lund,,male,,,,M. Lund,M. Lund,Magnus Lund,Magnus Lund,,
965,Frans Jan W. Parmentier,,male,,,,F. J. W. Parmentier,F. Parmentier,Frans J. W. Parmentier,Frans Parmentier,,
966,Eugénie S. Euskirchen,,female,,,,E. S. Euskirchen,E. Euskirchen,Eugénie S. Euskirchen,Eugénie Euskirchen,,
967,Vladimir E. Romanovsky,,male,,,,V. E. Romanovsky,V. Romanovsky,Vladimir E. Romanovsky,Vladimir Romanovsky,,
968,John E. Walsh,,male,,,,J. E. Walsh,J. Walsh,John E. Walsh,John Walsh,,
969,James E. Overland,,male,,,,J. E. Overland,J. Overland,James E. Overland,James Overland,,
970,Robert W. Corell,,male,,,,R. W. Corell,R. Corell,Robert W. Corell,Robert Corell,,
971,Walter N. Meier,,male,,,,W. N. Meier,W. Meier,Walter N. Meier,Walter Meier,,
972,Johanna Mård,,female,,,,J. Mård,J. Mård,Johanna Mård,Johanna Mård,,
973,M. V. Madsen,,male,,,,M. V. Madsen,M. Madsen,M. V. Madsen,M. Madsen,,
974,M. Hörhold,,male,,,,M. Hörhold,M. Hörhold,M. Hörhold,M. Hörhold,,
975,S. M.P. Berben,,male,,,,S. M. Berben,S. Berben,S. M. Berben,S. Berben,,
976,E. Capron,,female,,,,E. Capron,E. Capron,E. Capron,E. Capron,,
977,M. F. Jensen,,male,,,,M. F. Jensen,M. Jensen,M. F. Jensen,M. Jensen,,
978,T. R. Jones,,male,,,,T. R. Jones,T. Jones,T. R. Jones,T. Jones,,
979,I. Koldtoft,,male,,,,I. Koldtoft,I. Koldtoft,I. Koldtoft,I. Koldtoft,,
980,H. R. Pillar,,female,,,,H. R. Pillar,H. Pillar,H. R. Pillar,H. Pillar,,
981,B. H. Vaughn,,male,,,,B. H. Vaughn,B. Vaughn,B. H. Vaughn,B. Vaughn,,
982,D. Dahl-Jensen,,female,,,,D. Dahl-Jensen,D. Dahl-Jensen,D. Dahl-Jensen,D. Dahl-Jensen,,
983,Elizabeth M. Morris,,female,,,,E. M. Morris,E. Morris,Elizabeth M. Morris,Elizabeth Morris,,
984,Ellen Mosley-Thompson,,female,,,,E. Mosley-Thompson,E. Mosley-Thompson,Ellen Mosley-Thompson,Ellen Mosley-Thompson,,
985,Lynn N. Montgomery,,female,,,,L. N. Montgomery,L. Montgomery,Lynn N. Montgomery,Lynn Montgomery,,
986,Clément Miège,,male,,,,C. Miège,C. Miège,Clément Miège,Clément Miège,,
987,Thomas Ingeman-Nielsen,,male,,,,T. Ingeman-Nielsen,T. Ingeman-Nielsen,Thomas Ingeman-Nielsen,Thomas Ingeman-Nielsen,,
988,M. Ades,,male,,,,M. Ades,M. Ades,M. Ades,M. Ades,,
989,R. Adler,,male,,,,R. Adler,R. Adler,R. Adler,R. Adler,,
990,Laura S. Aldeco,,female,,,,L. S. Aldeco,L. Aldeco,Laura S. Aldeco,Laura Aldeco,,
991,G. Alejandra,,male,,,,G. Alejandra,G. Alejandra,G. Alejandra,G. Alejandra,,
992,Vannia Aliaga-Nestares,,male,,,,V. Aliaga-Nestares,V. Aliaga-Nestares,Vannia Aliaga-Nestares,Vannia Aliaga-Nestares,,
993,Richard P. Allan,,male,,,,R. P. Allan,R. Allan,Richard P. Allan,Richard Allan,,
994,Rob Allan,,male,,,,R. Allan,R. Allan,Rob Allan,Rob Allan,,
995,Lincoln M. Alves,,male,,,,L. M. Alves,L. Alves,Lincoln M. Alves,Lincoln Alves,,
996,John Anderson,,male,,,,J. Anderson,J. Anderson,John Anderson,John Anderson,,
997,C. Arosio,,male,,,,C. Arosio,C. Arosio,C. Arosio,C. Arosio,,
998,Kevin Arrigo,,male,,,,K. Arrigo,K. Arrigo,Kevin Arrigo,Kevin Arrigo,,
999,César Azorin-Molina,,male,,,,C. Azorin-Molina,C. Azorin-Molina,César Azorin-Molina,César Azorin-Molina,,
1000,M. Yu Bardin,,male,,,,M. Y. Bardin,M. Bardin,M. Y. Bardin,M. Bardin,,
1001,Jonathan Barichivich,,male,,,,J. Barichivich,J. Barichivich,Jonathan Barichivich,Jonathan Barichivich,,
1002,Stephen Baxter,,male,,,,S. Baxter,S. Baxter,Stephen Baxter,Stephen Baxter,,
1003,H. E. Beck,,male,,,,H. E. Beck,H. Beck,H. E. Beck,H. Beck,,
1004,Nicolas Bellouin,,male,,,,N. Bellouin,N. Bellouin,Nicolas Bellouin,Nicolas Bellouin,,
1005,M. Belmont,,male,,,,M. Belmont,M. Belmont,M. Belmont,M. Belmont,,
1006,Imme Benedict,,male,,,,I. Benedict,I. Benedict,Imme Benedict,Imme Benedict,,
1007,G. H. Bernhard,,male,,,,G. H. Bernhard,G. Bernhard,G. H. Bernhard,G. Bernhard,,
1008,Lynette Bettio,,female,,,,L. Bettio,L. Bettio,Lynette Bettio,Lynette Bettio,,
1009,B. K. Biskaborn,,male,,,,B. K. Biskaborn,B. Biskaborn,B. K. Biskaborn,B. Biskaborn,,
1010,Kevin L. Bjella,,male,,,,K. L. Bjella,K. Bjella,Kevin L. Bjella,Kevin Bjella,,
1011,J. K. Bjerke,,male,,,,J. K. Bjerke,J. Bjerke,J. K. Bjerke,J. Bjerke,,
1012,Stephen Blenkinsop,,male,,,,S. Blenkinsop,S. Blenkinsop,Stephen Blenkinsop,Stephen Blenkinsop,,
1013,Olivier Bock,,male,,,,O. Bock,O. Bock,Olivier Bock,Olivier Bock,,
1014,Olivier Boucher,,male,,,,O. Boucher,O. Boucher,Olivier Boucher,Olivier Boucher,,
1015,Tim Boyer,,male,,,,T. Boyer,T. Boyer,Tim Boyer,Tim Boyer,,
1016,Geir Braathen,,male,,,,G. Braathen,G. Braathen,Geir Braathen,Geir Braathen,,
1017,Francis G. Bringas,,male,,,,F. G. Bringas,F. Bringas,Francis G. Bringas,Francis Bringas,,
1018,Alrick Brown,,male,,,,A. Brown,A. Brown,Alrick Brown,Alrick Brown,,
1019,Timothy J. Brown,,male,,,,T. J. Brown,T. Brown,Timothy J. Brown,Timothy Brown,,
1020,S. A. Buehler,,male,,,,S. A. Buehler,S. Buehler,S. A. Buehler,S. Buehler,,
1021,Luis Cáceres,,male,,,,L. Cáceres,L. Cáceres,Luis Cáceres,Luis Cáceres,,
1022,Blanca Calderón,,female,,,,B. Calderón,B. Calderón,Blanca Calderón,Blanca Calderón,,
1023,Jayaka D. Campbell,,male,,,,J. D. Campbell,J. Campbell,Jayaka D. Campbell,Jayaka Campbell,,
1024,Diego A. Campos Diaz,,male,,,,D. A. C. Diaz,D. Diaz,Diego A. C. Diaz,Diego Diaz,,
1025,Laura Carrea,,female,,,,L. Carrea,L. Carrea,Laura Carrea,Laura Carrea,,
1026,Seth B. Carrier,,male,,,,S. B. Carrier,S. Carrier,Seth B. Carrier,Seth Carrier,,
1027,Brendan R. Carter,,male,,,,B. R. Carter,B. Carter,Brendan R. Carter,Brendan Carter,,
1028,Anabel Y. Castro,,female,,,,A. Y. Castro,A. Castro,Anabel Y. Castro,Anabel Castro,,
1029,Ivona Cetinic,,female,,,,I. Cetinic,I. Cetinic,Ivona Cetinic,Ivona Cetinic,,
1030,Lin Chen,,female,,,,L. Chen,L. Chen,Lin Chen,Lin Chen,,
1031,Lijing Cheng,,male,,,,L. Cheng,L. Cheng,Lijing Cheng,Lijing Cheng,,
1032,Vincent Y.S. Cheng,,male,,,,V. Y. Cheng,V. Cheng,Vincent Y. Cheng,Vincent Cheng,,
1033,Hanne H. Christiansen,,female,,,,H. H. Christiansen,H. Christiansen,Hanne H. Christiansen,Hanne Christiansen,,
1034,John R. Christy,,male,,,,J. R. Christy,J. Christy,John R. Christy,John Christy,,
1035,E. S. Chung,,male,,,,E. S. Chung,E. Chung,E. S. Chung,E. Chung,,
1036,Federico Claus,,male,,,,F. Claus,F. Claus,Federico Claus,Federico Claus,,
1037,Kyle R. Clem,,male,,,,K. R. Clem,K. Clem,Kyle R. Clem,Kyle Clem,,
1038,Melanie Coldewey-Egbers,,female,,,,M. Coldewey-Egbers,M. Coldewey-Egbers,Melanie Coldewey-Egbers,Melanie Coldewey-Egbers,,
1039,Owen R. Cooper,,male,,,,O. R. Cooper,O. Cooper,Owen R. Cooper,Owen Cooper,,
1040,Cathy Cosca,,female,,,,C. Cosca,C. Cosca,Cathy Cosca,Cathy Cosca,,
1041,Curt Covey,,male,,,,C. Covey,C. Covey,Curt Covey,Curt Covey,,
1042,Lawrence Coy,,male,,,,L. Coy,L. Coy,Lawrence Coy,Lawrence Coy,,
1043,Cristina P. Dávila,,female,,,,C. P. Dávila,C. Dávila,Cristina P. Dávila,Cristina Dávila,,
1044,Sean M. Davis,,male,,,,S. M. Davis,S. Davis,Sean M. Davis,Sean Davis,,
1045,Elvira de Eyto,,female,,,,E. d. Eyto,E. Eyto,Elvira d. Eyto,Elvira Eyto,,
1046,Richard A.M. de Jeu,,male,,,,R. A. d. Jeu,R. Jeu,Richard A. d. Jeu,Richard Jeu,,
1047,Jos De Laat,,male,,,,J. D. Laat,J. Laat,Jos D. Laat,Jos Laat,,
1048,B. Decharme,,male,,,,B. Decharme,B. Decharme,B. Decharme,B. Decharme,,
1049,Curtis L. Degasperi,,male,,,,C. L. Degasperi,C. Degasperi,Curtis L. Degasperi,Curtis Degasperi,,
1050,Doug Degenstein,,male,,,,D. Degenstein,D. Degenstein,Doug Degenstein,Doug Degenstein,,
1051,Mesut Demircan,,male,,,,M. Demircan,M. Demircan,Mesut Demircan,Mesut Demircan,,
1052,K. R. Dhurmea,,male,,,,K. R. Dhurmea,K. Dhurmea,K. R. Dhurmea,K. Dhurmea,,
1053,Larry Di Girolamo,,male,,,,L. D. Girolamo,L. Girolamo,Larry D. Girolamo,Larry Girolamo,,
1054,Eliecer Diaz,,male,,,,E. Diaz,E. Diaz,Eliecer Diaz,Eliecer Diaz,,
1055,Fransisco A. Diniz,,male,,,,F. A. Diniz,F. Diniz,Fransisco A. Diniz,Fransisco Diniz,,
1056,Martin T. Dokulil,,male,,,,M. T. Dokulil,M. Dokulil,Martin T. Dokulil,Martin Dokulil,,
1057,Catia M. Domingues,,female,,,,C. M. Domingues,C. Domingues,Catia M. Domingues,Catia Domingues,,
1058,Ricardo Domingues,,male,,,,R. Domingues,R. Domingues,Ricardo Domingues,Ricardo Domingues,,
1059,Markus G. Donat,,male,,,,M. G. Donat,M. Donat,Markus G. Donat,Markus Donat,,
1060,Miranda Jane Nicholes,,female,,,,M. J. Nicholes,M. Nicholes,Miranda J. Nicholes,Miranda Nicholes,,
1061,Christopher James Williamson,,male,,,,C. J. Williamson,C. Williamson,Christopher J. Williamson,Christopher Williamson,,
1062,Alexandra Holland,,female,,,,A. Holland,A. Holland,Alexandra Holland,Alexandra Holland,,
1063,Ewa Poniecka,,female,,,,E. Poniecka,E. Poniecka,Ewa Poniecka,Ewa Poniecka,,
1064,Marian Louise Yallop,,male,,,,M. L. Yallop,M. Yallop,Marian L. Yallop,Marian Yallop,,
1065,Alexandre Anesio,,male,,,,A. Anesio,A. Anesio,Alexandre Anesio,Alexandre Anesio,,
1066,Liane Benning,,female,,,,L. Benning,L. Benning,Liane Benning,Liane Benning,,
1067,Jim McQuaid,,male,,,,J. McQuaid,J. McQuaid,Jim McQuaid,Jim McQuaid,,
1068,Stefanie Lutz,,female,,,,S. Lutz,S. Lutz,Stefanie Lutz,Stefanie Lutz,,
1069,Jenine McCutcheon,,female,,,,J. McCutcheon,J. McCutcheon,Jenine McCutcheon,Jenine McCutcheon,,
1070,Andy Hodson,,male,,,,A. Hodson,A. Hodson,Andy Hodson,Andy Hodson,,
1071,Tristam Irvine-Fynn,,male,,,,T. Irvine-Fynn,T. Irvine-Fynn,Tristam Irvine-Fynn,Tristam Irvine-Fynn,,
1072,Joseph Cook,,male,,,,J. Cook,J. Cook,Joseph Cook,Joseph Cook,,
1073,Jonathan Bamber,,male,,,,J. Bamber,J. Bamber,Jonathan Bamber,Jonathan Bamber,,
1074,Andrew Tedstone,,male,,,,A. Tedstone,A. Tedstone,Andrew Tedstone,Andrew Tedstone,,
1075,David O. Burgess,,male,,,,D. O. Burgess,D. Burgess,David O. Burgess,David Burgess,,
1076,Shad O'Neel,,male,,,,S. O'Neel,S. O'Neel,Shad O'Neel,Shad O'Neel,,
1077,Laura I. Thomson,,female,,,,L. I. Thomson,L. Thomson,Laura I. Thomson,Laura Thomson,,
1078,Tristram D. Irvine-Fynn,,male,,,,T. D. Irvine-Fynn,T. Irvine-Fynn,Tristram D. Irvine-Fynn,Tristram Irvine-Fynn,,
1079,Laurence C. Smith,,female,,,,L. C. Smith,L. Smith,Laurence C. Smith,Laurence Smith,,
1080,Karen Cameron,,female,,,,K. Cameron,K. Cameron,Karen Cameron,Karen Cameron,,
1081,A. K. Kendrick,,male,,,,A. K. Kendrick,A. Kendrick,A. K. Kendrick,A. Kendrick,,
1082,D. M. Schroeder,,male,,,,D. M. Schroeder,D. Schroeder,D. M. Schroeder,D. Schroeder,,
1083,W. Chu,,female,,,,W. Chu,W. Chu,W. Chu,W. Chu,,
1084,T. J. Young,,male,,,,T. J. Young,T. Young,T. J. Young,T. Young,,
1085,J. Todd,,male,,,,J. Todd,J. Todd,J. Todd,J. Todd,,
1086,S. H. Doyle,,male,,,,S. H. Doyle,S. Doyle,S. H. Doyle,S. Doyle,,
1087,B. Hubbard,,male,,,,B. Hubbard,B. Hubbard,B. Hubbard,B. Hubbard,,
1088,P. V. Brennan,,male,,,,P. V. Brennan,P. Brennan,P. V. Brennan,P. Brennan,,
1089,K. W. Nicholls,,male,,,,K. W. Nicholls,K. Nicholls,K. W. Nicholls,K. Nicholls,,
1090,L. B. Lok,,male,,,,L. B. Lok,L. Lok,L. B. Lok,L. Lok,,
1091,N. S. Jensen,,male,,,,N. S. Jensen,N. Jensen,N. S. Jensen,N. Jensen,,
1092,M. T. Møller,,male,,,,M. T. Møller,M. Møller,M. T. Møller,M. Møller,,
1093,R. Abernethy,,male,,,,R. Abernethy,R. Abernethy,R. Abernethy,R. Abernethy,,
1094,Adelina Albanil Encarnación,,female,,,,A. A. Encarnación,A. Encarnación,Adelina A. Encarnación,Adelina Encarnación,,
1095,L. M. Andreassen,,female,,,,L. M. Andreassen,L. Andreassen,L. M. Andreassen,L. Andreassen,,
1096,Anthony Argüez,,male,,,,A. Argüez,A. Argüez,Anthony Argüez,Anthony Argüez,,
1097,C. Armitage,,male,,,,C. Armitage,C. Armitage,C. Armitage,C. Armitage,,
1098,Grinia Avalos,,male,,,,G. Avalos,G. Avalos,Grinia Avalos,Grinia Avalos,,
1099,Julián Báez,,male,,,,J. Báez,J. Báez,Julián Báez,Julián Báez,,
1100,Kristopher M. Bedka,,male,,,,K. M. Bedka,K. Bedka,Kristopher M. Bedka,Kristopher Bedka,,
1101,Carolina Behe,,female,,,,C. Behe,C. Behe,Carolina Behe,Carolina Behe,,
1102,K. Bolmgren,,male,,,,K. Bolmgren,K. Bolmgren,K. Bolmgren,K. Bolmgren,,
1103,Marilú Bouchon,,male,,,,M. Bouchon,M. Bouchon,Marilú Bouchon,Marilú Bouchon,,
1104,Geir O. Braathen,,male,,,,G. O. Braathen,G. Braathen,Geir O. Braathen,Geir Braathen,,
1105,Ethan C. Campbell,,male,,,,E. C. Campbell,E. Campbell,Ethan C. Campbell,Ethan Campbell,,
1106,Anabel Castro,,female,,,,A. Castro,A. Castro,Anabel Castro,Anabel Castro,,
1107,L. Copland,,male,,,,L. Copland,L. Copland,L. Copland,L. Copland,,
1108,Carol Costanza,,female,,,,C. Costanza,C. Costanza,Carol Costanza,Carol Costanza,,
1109,T. Cronin,,male,,,,T. Cronin,T. Cronin,T. Cronin,T. Cronin,,
1110,Luis Cruzado,,male,,,,L. Cruzado,L. Cruzado,Luis Cruzado,Luis Cruzado,,
1111,Raychelle Daniel,,male,,,,R. Daniel,R. Daniel,Raychelle Daniel,Raychelle Daniel,,
1112,S. G. Davletshin,,male,,,,S. G. Davletshin,S. Davletshin,S. G. Davletshin,S. Davletshin,,
1113,Elvira De Eyto,,female,,,,E. D. Eyto,E. Eyto,Elvira D. Eyto,Elvira Eyto,,
1114,Richard A.M. De Jeu,,male,,,,R. A. D. Jeu,R. Jeu,Richard A. D. Jeu,Richard Jeu,,
1115,Jacqueline L. De La Cour,,female,,,,J. L. D. L. Cour,J. Cour,Jacqueline L. D. L. Cour,Jacqueline Cour,,
1116,Curtis L. De Gasperi,,male,,,,C. L. D. Gasperi,C. Gasperi,Curtis L. D. Gasperi,Curtis Gasperi,,
1117,P. Deline,,male,,,,P. Deline,P. Deline,P. Deline,P. Deline,,
